datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-01-31,127.69000000000001,99.09000000000005,152.09999999999997,878.0300000000002,354.0,50.0,112.0,48.2
2014-02-28,133.32,126.0500000000001,176.99999999999997,1001.9000000000001,347.0,31.0,122.0,36.2
2014-03-31,137.44000000000005,92.95000000000007,147.655,779.275,232.0,20.0,112.0,85.4
2014-04-30,113.10000000000004,89.47500000000008,130.89999999999998,698.5,209.0,18.0,97.0,73.7
2014-05-31,101.79000000000005,119.93300000000009,132.1,628.7800000000001,270.0,23.0,107.0,123.69999999999999
2014-06-30,112.07000000000002,94.71000000000006,122.9,548.225,323.0,23.0,57.0,109.3
2014-07-31,117.06000000000002,95.01000000000012,129.3,491.9,348.0,21.0,61.0,69.1
2014-08-31,134.79000000000005,99.7800000000001,123.8,583.8499999999999,420.0,29.0,37.0,70.80000000000001
2014-09-30,108.78000000000003,109.0940000000001,122.09999999999998,887.8199999999999,399.0,14.0,115.0,58.8
2014-10-31,154.75000000000003,185.2410000000001,191.59999999999997,1856.8149999999994,472.0,30.0,182.0,74.5
2014-11-30,138.08000000000004,100.86000000000004,142.7,723.8,489.0,19.0,112.0,45.2
2014-12-31,131.90000000000003,121.40100000000004,111.12400000000001,1015.6600000000001,492.0,25.0,163.0,33.4
